"date_analysis","proj","model1","model2","model3"
2022-07-20,4,"gpr","arima","garch"
2022-07-20,5,"gru","garch","gpr"
2022-07-20,6,"gpr","arima","lm"
2022-07-20,7,"gru","gpr","lm"
2022-07-20,8,"gru","xgb","gpr"
2022-07-20,9,"gru","gbm","gpr"
2022-07-20,10,"gru","gpr","rf"
2022-07-20,11,"gru","gpr","rf"
2022-07-20,12,"gru","gpr","rf"
2022-07-20,13,"gpr","gbm","rf"
2022-07-20,14,"gpr","rf","gbm"
2022-07-21,0,"garch","gam","lm"
2022-07-21,1,"garch","arima","lm"
2022-07-21,2,"garch","gpr","arima"
2022-07-21,3,"gpr","arima","garch"
2022-07-21,4,"arima","garch","gpr"
2022-07-21,5,"garch","gpr","arima"
2022-07-21,6,"xgb","gpr","arima"
2022-07-21,7,"gru","gpr","xgb"
2022-07-21,8,"gru","gpr","lm"
2022-07-21,9,"gru","gpr","gbm"
2022-07-21,10,"gru","gpr","gbm"
2022-07-21,11,"gru","gpr","gbm"
2022-07-21,12,"gru","gpr","gbm"
2022-07-21,13,"gpr","lm","gbm"
2022-07-21,14,"gbm","gpr","rf"
2022-07-22,0,"gam","garch","lm"
2022-07-22,1,"garch","gam","lm"
2022-07-22,2,"garch","xgb","arima"
2022-07-22,3,"arima","garch","lm"
2022-07-22,4,"arima","garch","gpr"
2022-07-22,5,"garch","gpr","arima"
2022-07-22,6,"arima","garch","gpr"
2022-07-22,7,"gru","gpr","arima"
2022-07-22,8,"gpr","gru","lm"
2022-07-22,9,"gpr","gru","lm"
2022-07-22,10,"gru","gpr","gbm"
2022-07-22,11,"gru","gbm","gpr"
2022-07-22,12,"gru","gpr","gbm"
2022-07-22,13,"gpr","gbm","lm"
2022-07-22,14,"gpr","gbm","rf"
2022-07-23,0,"gam","garch","lm"
2022-07-23,1,"garch","gam","lm"
2022-07-23,2,"xgb","garch","arima"
2022-07-23,3,"garch","arima","lm"
2022-07-23,4,"arima","garch","lm"
2022-07-23,5,"garch","arima","gpr"
2022-07-23,6,"arima","garch","gam"
2022-07-23,7,"gam","gpr","garch"
2022-07-23,8,"gpr","garch","gru"
2022-07-23,9,"gpr","lm","garch"
2022-07-23,10,"gpr","gru","lm"
2022-07-23,11,"gru","gbm","gpr"
2022-07-23,12,"gru","gbm","gpr"
2022-07-23,13,"gpr","gbm","lm"
2022-07-23,14,"gpr","gbm","lm"
2022-07-24,0,"garch","gam","lm"
2022-07-24,1,"garch","lm","arima"
2022-07-24,2,"xgb","garch","arima"
2022-07-24,3,"garch","arima","lm"
2022-07-24,4,"arima","garch","lm"
2022-07-24,5,"garch","arima","gpr"
2022-07-24,6,"gam","gpr","lm"
2022-07-24,7,"gam","gpr","garch"
2022-07-24,8,"garch","gpr","arima"
2022-07-24,9,"garch","gpr","arima"
2022-07-24,10,"gpr","lm","garch"
2022-07-24,11,"gpr","gru","lm"
2022-07-24,12,"gru","gbm","gpr"
2022-07-24,13,"gru","gpr","gbm"
2022-07-24,14,"gbm","gru","gpr"
2022-07-25,0,"gam","garch","arima"
2022-07-25,1,"gam","garch","arima"
2022-07-25,2,"xgb","garch","arima"
2022-07-25,3,"garch","lm","arima"
2022-07-25,4,"arima","garch","gam"
2022-07-25,5,"garch","gam","arima"
2022-07-25,6,"arima","garch","gam"
2022-07-25,7,"gam","garch","gpr"
2022-07-25,8,"arima","garch","gpr"
2022-07-25,9,"garch","gpr","lm"
2022-07-25,10,"arima","garch","gpr"
2022-07-25,11,"gpr","garch","lm"
2022-07-25,12,"gpr","gru","lm"
2022-07-25,13,"gru","gbm","gpr"
2022-07-25,14,"gru","gbm","gpr"
2022-07-26,0,"gam","garch","arima"
2022-07-26,1,"gam","garch","lm"
2022-07-26,2,"xgb","gam","garch"
2022-07-26,3,"garch","gam","arima"
2022-07-26,4,"arima","garch","gam"
2022-07-26,5,"garch","arima","gam"
2022-07-26,6,"arima","garch","gam"
2022-07-26,7,"gam","garch","gpr"
2022-07-26,8,"arima","garch","gpr"
2022-07-26,9,"garch","gpr","lm"
2022-07-26,10,"arima","gpr","garch"
2022-07-26,11,"gpr","garch","gru"
2022-07-26,12,"gru","gpr","garch"
2022-07-26,13,"gpr","lm","gru"
2022-07-26,14,"gru","gbm","gpr"
2022-07-27,0,"gam","garch","arima"
2022-07-27,1,"gam","garch","xgb"
2022-07-27,2,"xgb","gam","garch"
2022-07-27,3,"gam","garch","arima"
2022-07-27,4,"gam","arima","garch"
2022-07-27,5,"garch","gam","arima"
2022-07-27,6,"arima","gam","garch"
2022-07-27,7,"gam","garch","gpr"
2022-07-27,8,"arima","garch","gpr"
2022-07-27,9,"garch","gpr","lm"
2022-07-27,10,"arima","gpr","garch"
2022-07-27,11,"gpr","garch","lm"
2022-07-27,12,"gpr","gru","garch"
2022-07-27,13,"gpr","lm","gru"
2022-07-27,14,"gru","gpr","lm"
2022-07-28,0,"gam","garch","arima"
2022-07-28,1,"xgb","gam","garch"
2022-07-28,2,"xgb","gam","garch"
2022-07-28,3,"gam","xgb","garch"
2022-07-28,4,"gam","arima","garch"
2022-07-28,5,"garch","gam","arima"
2022-07-28,6,"gam","arima","garch"
2022-07-28,7,"gam","arima","garch"
2022-07-28,8,"arima","garch","gam"
2022-07-28,9,"garch","arima","gpr"
2022-07-28,10,"garch","arima","gpr"
2022-07-28,11,"garch","gpr","arima"
2022-07-28,12,"gpr","garch","lm"
2022-07-28,13,"gpr","lm","garch"
2022-07-28,14,"gru","gpr","lm"
2022-07-29,0,"gam","xgb","garch"
2022-07-29,1,"xgb","gam","garch"
2022-07-29,2,"xgb","gam","garch"
