"mytestdate","proj","var","coef","modelname"
2022-05-31,0,"scaled_case_lag1",0.799394728055691,"lasso"
2022-05-31,0,"scaled_case_lag2",0.0984608749093595,"lasso"
2022-05-31,0,"ct_sm_7_lag6",-0.0853052923840215,"lasso"
2022-05-31,0,"temperature_lag4",-0.0171480296707331,"lasso"
2022-05-31,0,"temperature_lag6",-0.0242512661335732,"lasso"
2022-05-31,1,"(Intercept)",0.76979959359686,"lasso"
2022-05-31,1,"scaled_case_lag1",0.776880703243237,"lasso"
2022-05-31,1,"scaled_case_lag2",0.1024341161894,"lasso"
2022-05-31,1,"ct_sm_7_lag7",-0.124208861058854,"lasso"
2022-05-31,1,"temperature_lag3",-0.0173434424043438,"lasso"
2022-05-31,1,"temperature_lag5",-0.0283900184460584,"lasso"
2022-05-31,2,"(Intercept)",0.756406052411424,"lasso"
2022-05-31,2,"scaled_case_lag1",0.79160466399596,"lasso"
2022-05-31,2,"scaled_case_lag2",0.0891742874928539,"lasso"
2022-05-31,2,"ct_sm_7_lag6",-0.0855548489387557,"lasso"
2022-05-31,2,"ct_sm_7_lag7",-0.0363404571377463,"lasso"
2022-05-31,2,"temperature_lag2",-0.0133176673207108,"lasso"
2022-05-31,2,"temperature_lag4",-0.0263939077349383,"lasso"
2022-05-31,3,"(Intercept)",0.778543647680391,"lasso"
2022-05-31,3,"scaled_case_lag1",0.78105655443677,"lasso"
2022-05-31,3,"scaled_case_lag2",0.0963055786783601,"lasso"
2022-05-31,3,"ct_sm_7_lag5",-0.0613458830114072,"lasso"
2022-05-31,3,"ct_sm_7_lag6",-0.0640107452306796,"lasso"
2022-05-31,3,"temperature_lag1",-0.0261808105864862,"lasso"
2022-05-31,3,"temperature_lag3",-0.0219631463667251,"lasso"
2022-05-31,4,"(Intercept)",0.831173104097354,"lasso"
2022-05-31,4,"scaled_case_lag1",0.780113618136683,"lasso"
2022-05-31,4,"scaled_case_lag2",0.0884647153917762,"lasso"
2022-05-31,4,"ct_sm_7_lag4",-0.00724384387761394,"lasso"
