"var","coef","CI_lwr","CI_upr","modelname"
"beta1","0.836060280455096","-0.798664722573957","2.47078528348415","garch"
"mu","0.0826220608042117","-0.131892607826406","0.297136729434829","garch"
"ma1","-0.231120520753019","-0.450178537521987","-0.0120625039840513","garch"
"temperature_lag2","-0.0392645069750244","-0.0859912549092125","0.00746224095916376","garch"
"carbon_monoxide_lag1","-0.00813427173500931","-0.0459104786733129","0.0296419352032943","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0049977337871882","-0.0625953025214301","0.0525998349470537","garch"
"scaled_case_lag1","0.976447389703004","0.944400635879791","1.00849414352622","garch"
"ct_sm_7_lag6","-0.0242152600847414","-0.101897292874292","0.0534667727048087","garch"
"omega","0.00751595425376859","-0.0805126797984412","0.0955445883059784","garch"
"beta1","0.811208024065283","-1.39703290568649","3.01944895381705","garch"
"mu","-0.189897673783968","-0.460610839769266","0.0808154922013296","garch"
"ma1","-0.329069400546388","-0.586029291077947","-0.072109510014828","garch"
"temperature_lag7","0.0105332793173973","-0.0340205856648699","0.0550871442996645","garch"
"carbon_monoxide_lag1","-0.016795314902769","-0.0519361980709202","0.0183455682653822","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0127254686111858","-0.0657021648106082","0.0402512275882367","garch"
"scaled_case_lag1","1.01693065584724","0.976219308440806","1.05764200325367","garch"
"ct_sm_7_lag5","0.0262480563992222","-0.0570383368363205","0.109534449634765","garch"
"omega","0.00759298407593648","-0.0378479586747492","0.0530339268266221","garch"
"beta1","0.803891931543597","-0.364062985528292","1.97184684861549","garch"
"mu","-0.0523884764931691","NaN","NaN","garch"
"ma1","-0.300406170807906","-0.541245550775449","-0.0595667908403624","garch"
"temperature_lag7","-0.0132141368665831","-0.0576444216009089","0.0312161478677427","garch"
"carbon_monoxide_lag1","-0.01499792367911","-0.0505940790785622","0.0205982317203422","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00428019626515548","-0.0571246555591207","0.0485642630288097","garch"
"scaled_case_lag1","0.99564550798848","NaN","NaN","garch"
"ct_sm_7_lag4","0.00594985284088156","-0.0349757014102209","0.0468754070919841","garch"
"omega","0.0170139696008175","-0.0818651627993952","0.11589310200103","garch"
"beta1","0.541791622362726","-2.11353641608857","3.19711966081402","garch"
"mu","0.0585411042771901","0.0174027475416588","0.0996794610127214","garch"
"ma1","-0.370740432300172","-0.609887675446763","-0.131593189153582","garch"
