var,coef,proj,modelname
GovernmentResponseIndex_WeightedAverage_lag1,0.17292207,8,gru
scaled_case_lag1,2.2955942,8,gru
temperature_lag1,0.08406988,9,gru
carbon_monoxide_lag1,0.070315994,9,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.18495892,9,gru
scaled_case_lag1,2.2862134,9,gru
temperature_lag1,0.08734172,10,gru
carbon_monoxide_lag1,0.070648,10,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17242357,10,gru
scaled_case_lag1,2.2288399,10,gru
temperature_lag7,0.065290034,11,gru
carbon_monoxide_lag1,0.034711376,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13951458,11,gru
scaled_case_lag1,2.1860592,11,gru
temperature_lag7,0.08031498,12,gru
carbon_monoxide_lag7,0.04652477,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.117774166,12,gru
scaled_case_lag1,2.1027799,12,gru
temperature_lag6,0.08341854,13,gru
carbon_monoxide_lag6,0.04946111,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.11081664,13,gru
scaled_case_lag1,2.062766,13,gru
temperature_lag5,0.075141944,14,gru
carbon_monoxide_lag7,0.022030786,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.09036778,14,gru
scaled_case_lag1,2.0031283,14,gru
temperature_lag7,0.10965827,0,gru
carbon_monoxide_lag1,0.058111448,0,gru
StringencyIndex_WeightedAverage_lag1,0.09267658,0,gru
scaled_case_lag1,1.4669231,0,gru
ct_sm_7_lag7,0.55762964,0,gru
temperature_lag7,0.11395628,1,gru
carbon_monoxide_lag1,0.049904067,1,gru
StringencyIndex_WeightedAverage_lag1,0.07967047,1,gru
scaled_case_lag1,1.454343,1,gru
ct_sm_7_lag7,0.58560055,1,gru
temperature_lag7,0.108969264,2,gru
carbon_monoxide_lag1,0.04153175,2,gru
StringencyIndex_WeightedAverage_lag1,0.055462506,2,gru
scaled_case_lag1,1.4725249,2,gru
ct_sm_7_lag7,0.60648257,2,gru
temperature_lag7,0.11036457,3,gru
carbon_monoxide_lag1,0.03468306,3,gru
StringencyIndex_WeightedAverage_lag1,0.03826583,3,gru
scaled_case_lag1,1.5021784,3,gru
ct_sm_7_lag7,0.61874,3,gru
temperature_lag6,0.108533405,4,gru
carbon_monoxide_lag1,0.045185264,4,gru
StringencyIndex_WeightedAverage_lag1,0.041061085,4,gru
scaled_case_lag1,1.5155706,4,gru
ct_sm_7_lag7,0.6403675,4,gru
temperature_lag5,0.082769364,5,gru
carbon_monoxide_lag1,0.042912025,5,gru
StringencyIndex_WeightedAverage_lag1,0.20414166,5,gru
scaled_case_lag1,2.4367712,5,gru
temperature_lag4,0.08192017,6,gru
carbon_monoxide_lag1,0.0526269,6,gru
StringencyIndex_WeightedAverage_lag1,0.20548484,6,gru
scaled_case_lag1,2.4184146,6,gru
temperature_lag3,0.08157542,7,gru
carbon_monoxide_lag1,0.06326754,7,gru
StringencyIndex_WeightedAverage_lag1,0.1897705,7,gru
scaled_case_lag1,2.3671749,7,gru
temperature_lag2,0.08364225,8,gru
carbon_monoxide_lag1,0.06905143,8,gru
StringencyIndex_WeightedAverage_lag1,0.17772159,8,gru
scaled_case_lag1,2.3181875,8,gru
temperature_lag1,0.08111201,9,gru
carbon_monoxide_lag1,0.07078766,9,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.19062404,9,gru
scaled_case_lag1,2.3101115,9,gru
temperature_lag1,0.08470275,10,gru
carbon_monoxide_lag1,0.07163317,10,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17814091,10,gru
scaled_case_lag1,2.2516031,10,gru
temperature_lag7,0.0652285,11,gru
carbon_monoxide_lag1,0.036240317,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.1462489,11,gru
scaled_case_lag1,2.2121024,11,gru
temperature_lag7,0.077087246,12,gru
carbon_monoxide_lag7,0.047144614,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.122451544,12,gru
scaled_case_lag1,2.1260843,12,gru
temperature_lag6,0.07413236,13,gru
carbon_monoxide_lag7,0.04873016,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.11314985,13,gru
scaled_case_lag1,2.088731,13,gru
temperature_lag5,0.072156265,14,gru
carbon_monoxide_lag7,0.022429233,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.09502872,14,gru
scaled_case_lag1,2.0289915,14,gru
temperature_lag7,0.10835221,0,gru
carbon_monoxide_lag1,0.054107912,0,gru
StringencyIndex_WeightedAverage_lag1,0.100331835,0,gru
scaled_case_lag1,1.4504277,0,gru
ct_sm_7_lag7,0.57751405,0,gru
temperature_lag7,0.113804534,1,gru
carbon_monoxide_lag1,0.05071718,1,gru
StringencyIndex_WeightedAverage_lag1,0.08287897,1,gru
scaled_case_lag1,1.4438816,1,gru
ct_sm_7_lag7,0.6005495,1,gru
temperature_lag7,0.10879782,2,gru
carbon_monoxide_lag1,0.039300825,2,gru
StringencyIndex_WeightedAverage_lag1,0.058804564,2,gru
scaled_case_lag1,1.4612511,2,gru
ct_sm_7_lag7,0.6219984,2,gru
temperature_lag7,0.1105549,3,gru
carbon_monoxide_lag1,0.035424832,3,gru
StringencyIndex_WeightedAverage_lag1,0.038004797,3,gru
scaled_case_lag1,1.4973007,3,gru
ct_sm_7_lag7,0.6284001,3,gru
temperature_lag6,0.108595945,4,gru
carbon_monoxide_lag1,0.045856584,4,gru
StringencyIndex_WeightedAverage_lag1,0.04039909,4,gru
scaled_case_lag1,1.515349,4,gru
ct_sm_7_lag7,0.64579374,4,gru
temperature_lag5,0.08106635,5,gru
carbon_monoxide_lag1,0.04689605,5,gru
StringencyIndex_WeightedAverage_lag1,0.21240771,5,gru
scaled_case_lag1,2.4379601,5,gru
temperature_lag4,0.0805598,6,gru
carbon_monoxide_lag1,0.056595244,6,gru
StringencyIndex_WeightedAverage_lag1,0.21741632,6,gru
scaled_case_lag1,2.4246182,6,gru
temperature_lag3,0.08186268,7,gru
carbon_monoxide_lag1,0.05824691,7,gru
StringencyIndex_WeightedAverage_lag1,0.20269962,7,gru
scaled_case_lag1,2.3697164,7,gru
temperature_lag2,0.08480574,8,gru
carbon_monoxide_lag1,0.06262776,8,gru
StringencyIndex_WeightedAverage_lag1,0.19264637,8,gru
scaled_case_lag1,2.3231142,8,gru
temperature_lag1,0.086416915,9,gru
carbon_monoxide_lag2,0.08288698,9,gru
StringencyIndex_WeightedAverage_lag1,0.2104198,9,gru
scaled_case_lag1,2.3274915,9,gru
temperature_lag1,0.08511793,10,gru
carbon_monoxide_lag1,0.0732812,10,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.19505413,10,gru
scaled_case_lag1,2.2657738,10,gru
temperature_lag1,0.063543074,11,gru
carbon_monoxide_lag1,0.036943834,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17148665,11,gru
scaled_case_lag1,2.2053514,11,gru
temperature_lag7,0.07241028,12,gru
carbon_monoxide_lag7,0.030205274,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.14999685,12,gru
scaled_case_lag1,2.1425977,12,gru
temperature_lag7,0.06946033,13,gru
carbon_monoxide_lag7,0.04463993,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13205376,13,gru
scaled_case_lag1,2.1060286,13,gru
temperature_lag6,0.06026302,14,gru
carbon_monoxide_lag7,0.019910058,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.10912325,14,gru
scaled_case_lag1,2.0533772,14,gru
temperature_lag7,0.119109005,0,gru
carbon_monoxide_lag1,0.06433735,0,gru
StringencyIndex_WeightedAverage_lag1,0.1136442,0,gru
scaled_case_lag1,1.4408042,0,gru
ct_sm_7_lag7,0.5684225,0,gru
temperature_lag7,0.12532668,1,gru
carbon_monoxide_lag1,0.0627529,1,gru
StringencyIndex_WeightedAverage_lag1,0.098988645,1,gru
scaled_case_lag1,1.4373683,1,gru
ct_sm_7_lag7,0.58273166,1,gru
temperature_lag7,0.109494716,2,gru
carbon_monoxide_lag1,0.041223984,2,gru
StringencyIndex_WeightedAverage_lag1,0.072628014,2,gru
scaled_case_lag1,1.4645057,2,gru
ct_sm_7_lag7,0.6065867,2,gru
temperature_lag7,0.111551285,3,gru
carbon_monoxide_lag1,0.034311414,3,gru
StringencyIndex_WeightedAverage_lag1,0.039827283,3,gru
scaled_case_lag1,1.4973898,3,gru
ct_sm_7_lag7,0.612451,3,gru
temperature_lag6,0.10954151,4,gru
carbon_monoxide_lag1,0.038963113,4,gru
StringencyIndex_WeightedAverage_lag1,0.03474372,4,gru
scaled_case_lag1,1.5217499,4,gru
ct_sm_7_lag7,0.61662996,4,gru
temperature_lag5,0.10576331,5,gru
carbon_monoxide_lag1,0.03934781,5,gru
StringencyIndex_WeightedAverage_lag1,0.038008824,5,gru
scaled_case_lag1,1.5319289,5,gru
ct_sm_7_lag7,0.61692256,5,gru
temperature_lag4,0.08038065,6,gru
carbon_monoxide_lag1,0.055966105,6,gru
StringencyIndex_WeightedAverage_lag1,0.21708013,6,gru
scaled_case_lag1,2.432622,6,gru
temperature_lag3,0.08129958,7,gru
carbon_monoxide_lag1,0.057702195,7,gru
StringencyIndex_WeightedAverage_lag1,0.2027217,7,gru
scaled_case_lag1,2.378647,7,gru
temperature_lag2,0.08349663,8,gru
carbon_monoxide_lag1,0.06384189,8,gru
StringencyIndex_WeightedAverage_lag1,0.19359346,8,gru
scaled_case_lag1,2.3332205,8,gru
temperature_lag1,0.08258143,9,gru
carbon_monoxide_lag2,0.082244866,9,gru
StringencyIndex_WeightedAverage_lag1,0.20816232,9,gru
scaled_case_lag1,2.3345878,9,gru
temperature_lag1,0.08003042,10,gru
carbon_monoxide_lag1,0.07264124,10,gru
StringencyIndex_WeightedAverage_lag1,0.19232051,10,gru
scaled_case_lag1,2.2731912,10,gru
temperature_lag1,0.062309887,11,gru
carbon_monoxide_lag1,0.03672207,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.16910592,11,gru
